tarea,modelo,tokens_in,tokens_out,usd_por_llamada,origen_tokens
T1 Relevancia + extraccion (todo correo entrante),Haiku 4.5,700,150,0.001450,estimado
T1 Relevancia + extraccion (todo correo entrante),Sonnet 5,700,150,0.002900,estimado
T1 Relevancia + extraccion (todo correo entrante),Opus 5,700,150,0.007250,estimado
T2 Scoring cualitativo (correos relevantes),Haiku 4.5,317,315,0.001892,medido (ejecucion 15)
T2 Scoring cualitativo (correos relevantes),Sonnet 5,317,315,0.003784,medido (ejecucion 15)
T2 Scoring cualitativo (correos relevantes),Opus 5,317,315,0.009460,medido (ejecucion 15)
T3 Borrador de email (solo VIP),Haiku 4.5,250,350,0.002000,estimado
T3 Borrador de email (solo VIP),Sonnet 5,250,350,0.004000,estimado
T3 Borrador de email (solo VIP),Opus 5,250,350,0.010000,estimado
